Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
              444.276 |               451.164 |         3.54506186469e-09 | 2.41285406747e-11 |            2.88334636669e-09 | 2.17604351239e-11 |        105 
              451.164 |               458.052 |         3.42633917332e-09 | 2.39221501369e-11 |            2.91008853412e-09 | 2.20464226645e-11 |        106 
              458.052 |               464.448 |         3.29081745675e-09 |  2.4541889333e-11 |            2.92821699357e-09 | 2.31503583593e-11 |        107 
              464.448 |               471.336 |         3.11036239201e-09 | 2.32185861248e-11 |            2.95392439598e-09 | 2.26271560884e-11 |        108 
              471.336 |               478.224 |         2.97392498706e-09 | 2.28317112285e-11 |            2.94460410053e-09 | 2.27188796726e-11 |        109 
              478.224 |               485.604 |         2.90586889157e-09 | 2.18649696306e-11 |            2.93101115559e-09 | 2.19593563008e-11 |        110 
              485.604 |               492.984 |         2.74487490052e-09 | 2.16509819662e-11 |            2.93179713251e-09 | 2.23760435653e-11 |        111 
              492.984 |               500.856 |         2.67835131415e-09 | 2.10772531473e-11 |             2.9410643205e-09 | 2.20867842123e-11 |        112 
              500.856 |                509.22 |         2.56531018993e-09 | 2.03689143473e-11 |              2.956220032e-09 | 2.18658484886e-11 |        113 
               509.22 |               517.584 |         2.50852298364e-09 | 2.05526062655e-11 |             2.9734056229e-09 | 2.23761276393e-11 |        114 
              517.584 |               526.932 |         2.33559623193e-09 | 1.92477485271e-11 |            2.98964821163e-09 | 2.17766511777e-11 |        115 
              526.932 |               535.788 |           2.303692574e-09 | 2.01816463036e-11 |            2.99384339678e-09 |  2.3006940727e-11 |        116 
              535.788 |               544.644 |         2.21126255712e-09 | 2.03176420298e-11 |            2.99702615237e-09 | 2.36536631945e-11 |        117 
              544.644 |               553.992 |         2.12566726996e-09 | 1.99517776661e-11 |            2.98417920185e-09 | 2.36399420691e-11 |        118 
              553.992 |               564.816 |         2.09875736904e-09 | 1.90927090081e-11 |            2.98460572996e-09 |  2.2768265022e-11 |        119 
              564.816 |               576.624 |         1.96011703809e-09 | 1.85664943379e-11 |            2.98958577974e-09 | 2.29294902053e-11 |        120 
              576.624 |               588.432 |         1.92160350773e-09 | 1.93190787453e-11 |            2.97174400258e-09 | 2.40248244021e-11 |        121 
              588.432 |               600.732 |         1.75903684904e-09 | 1.89885917575e-11 |            2.97271321132e-09 | 2.46849233816e-11 |        122 
              600.732 |               613.524 |         1.76145988388e-09 | 1.96933320839e-11 |            2.97315721077e-09 | 2.55853732399e-11 |        123 
              613.524 |               627.792 |          1.7587472211e-09 | 2.01298165296e-11 |            2.99180118532e-09 | 2.62545442553e-11 |        124 
              627.792 |               643.536 |         1.69252650113e-09 | 2.04950056307e-11 |            2.97021285548e-09 |  2.7150265948e-11 |        125 
              643.536 |                661.74 |          1.5602199592e-09 |  1.9931363047e-11 |            3.02824220729e-09 | 2.77676658459e-11 |        126 
               661.74 |               684.864 |         1.44138089446e-09 | 1.87938795745e-11 |            3.07170333008e-09 | 2.74357400248e-11 |        127 
              684.864 |                 713.4 |         1.37518403563e-09 | 1.86752683779e-11 |            3.16728962448e-09 |  2.8341988414e-11 |        128 
                713.4 |               746.856 |         1.33985482188e-09 | 1.88419597412e-11 |            3.31087365166e-09 |  2.9618870257e-11 |        129 
              746.856 |               794.088 |         1.08938759912e-09 | 1.41094267817e-11 |            3.36566015758e-09 | 2.48000903771e-11 |        130 
              794.088 |               849.192 |         9.81522522808e-10 | 1.14094170416e-11 |             3.4774732013e-09 | 2.14755957079e-11 |        131 
              849.192 |               913.152 |         8.41415711673e-10 |  8.9614970913e-12 |            3.51151633958e-09 | 1.83072293592e-11 |        132 
              913.152 |              1001.712 |          7.0102575397e-10 | 6.82743084783e-12 |              3.492202256e-09 | 1.52384230924e-11 |        133 
             1001.712 |              1142.424 |         5.74919971799e-10 | 5.19660615762e-12 |            3.55878743282e-09 | 1.29290658396e-11 |        134 
             1142.424 |              2399.976 |         4.44851370966e-10 | 6.26936555055e-12 |            3.68089226808e-09 | 1.80340252512e-11 |        135 
