Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
              412.296 |               418.692 |          1.2331817659e-08 | 7.61577866798e-11 |            2.73751477157e-09 | 3.58821958569e-11 |        100 
              418.692 |               425.088 |         1.21237120139e-08 | 7.45247089897e-11 |            2.75599393316e-09 | 3.55321586172e-11 |        101 
              425.088 |               431.484 |         1.21497453013e-08 | 7.39936579369e-11 |            2.75580303673e-09 | 3.52399268109e-11 |        102 
              431.484 |                437.88 |         1.18430473077e-08 | 7.25387578755e-11 |            2.74378097618e-09 | 3.49150836352e-11 |        103 
               437.88 |               444.276 |          1.1656518708e-08 | 7.17041330608e-11 |             2.7783368161e-09 | 3.50067825126e-11 |        104 
              444.276 |               451.164 |         1.13938041777e-08 | 6.95600218191e-11 |             2.7803760291e-09 | 3.43618937525e-11 |        105 
              451.164 |               458.052 |         1.13091697447e-08 | 6.89452269447e-11 |            2.81686851657e-09 | 3.44090069177e-11 |        106 
              458.052 |               464.448 |         1.10834320479e-08 | 6.98209910714e-11 |            2.83540132612e-09 | 3.53147522851e-11 |        107 
              464.448 |               471.336 |         1.07459164111e-08 |  6.5886926158e-11 |             2.8272553352e-09 | 3.37955907802e-11 |        108 
              471.336 |               478.224 |         1.05062151137e-08 | 6.57445569538e-11 |             2.8522221833e-09 | 3.42553429126e-11 |        109 
              478.224 |               485.604 |          1.0435538039e-08 |  6.5312405669e-11 |            2.84041780336e-09 | 3.40744908673e-11 |        110 
              485.604 |               492.984 |         1.02644428845e-08 | 6.48867642685e-11 |            2.84252026436e-09 | 3.41460285435e-11 |        111 
              492.984 |               500.856 |         1.01235197894e-08 | 6.32020642132e-11 |            2.87619338008e-09 | 3.36879475362e-11 |        112 
              500.856 |                509.22 |         9.97949986625e-09 | 6.17377020362e-11 |            2.87307401184e-09 | 3.31260377016e-11 |        113 
               509.22 |               517.584 |         9.71283424723e-09 | 6.09041689163e-11 |             2.8802727071e-09 | 3.31658269594e-11 |        114 
              517.584 |               526.932 |         9.35972023828e-09 | 5.85170353884e-11 |            2.90719405471e-09 | 3.26127846653e-11 |        115 
              526.932 |               535.788 |         9.57920553922e-09 |  6.0255511515e-11 |            2.88643745587e-09 | 3.30760099491e-11 |        116 
              535.788 |               544.644 |         9.54551447979e-09 | 5.97936383407e-11 |            2.88807234165e-09 | 3.28896566224e-11 |        117 
              544.644 |               553.992 |          9.4194863374e-09 | 5.95760924461e-11 |            2.86511417443e-09 | 3.28571102419e-11 |        118 
              553.992 |               564.816 |         9.37908367596e-09 | 5.82889881253e-11 |            2.88174909015e-09 | 3.23098102403e-11 |        119 
              564.816 |               576.624 |         9.41022564255e-09 | 5.84941514125e-11 |            2.86966460331e-09 | 3.23018959539e-11 |        120 
              576.624 |               588.432 |         9.69948308127e-09 | 6.06491420371e-11 |            2.85373254514e-09 | 3.28970535025e-11 |        121 
              588.432 |               600.732 |         9.69653429909e-09 | 6.05816189407e-11 |            2.83179604053e-09 | 3.27388623267e-11 |        122 
              600.732 |               613.524 |         9.68773837191e-09 | 6.07408246772e-11 |            2.80599495258e-09 | 3.26898484963e-11 |        123 
              613.524 |               627.792 |         9.74574148254e-09 |  6.0976375212e-11 |             2.7945605108e-09 | 3.26520856064e-11 |        124 
              627.792 |               643.536 |         1.00195899613e-08 | 6.25077734285e-11 |             2.7780595065e-09 |  3.2913937455e-11 |        125 
              643.536 |                661.74 |         9.55832544002e-09 | 6.00192524135e-11 |            2.76403564037e-09 | 3.22753885206e-11 |        126 
               661.74 |               684.864 |         9.22792595126e-09 | 5.83922525185e-11 |            2.80683464299e-09 | 3.22041309169e-11 |        127 
              684.864 |                 713.4 |         9.11710786735e-09 | 5.74251284749e-11 |            2.87573383988e-09 | 3.22513411565e-11 |        128 
                713.4 |               746.856 |         8.74708876628e-09 | 5.50765299428e-11 |            2.99842321148e-09 | 3.22464015187e-11 |        129 
              746.856 |               794.088 |         7.41222383905e-09 |  4.6884489592e-11 |             3.2422212737e-09 | 3.10081779168e-11 |        130 
              794.088 |               849.192 |         6.46525981683e-09 | 4.07962448117e-11 |            3.38570688378e-09 | 2.95224146708e-11 |        131 
              849.192 |               913.152 |         5.13697496857e-09 | 3.25039565287e-11 |            3.51276903734e-09 | 2.68786419959e-11 |        132 
              913.152 |              1001.712 |          3.4634022368e-09 | 2.18910767621e-11 |            3.50944432847e-09 | 2.20361057897e-11 |        133 
             1001.712 |              1142.424 |         2.10609782722e-09 | 1.33173994693e-11 |            3.44422358977e-09 | 1.70304376873e-11 |        134 
             1142.424 |              2399.976 |         9.89527023835e-10 | 8.17901344232e-12 |             3.3952191896e-09 | 1.51502915825e-11 |        135 
                  0.0 |                 5.412 |         8.51450851896e-06 | 3.79707828065e-08 |            9.50443172921e-09 | 1.26862376109e-09 |        136 
                5.412 |                 8.364 |         1.91283426205e-06 |  7.2641280685e-09 |            2.85193897806e-09 | 2.80488412598e-10 |        137 
