# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
       91.020       92.496     8.04072E-08     6.95158E-10     3.46777E-09     1.44365E-10     6.36870E+02
       92.496       93.972     7.78163E-08     6.77483E-10     3.38444E-09     1.41288E-10     6.47763E+02
       93.972       95.448     7.54647E-08     6.66395E-10     3.38964E-09     1.41233E-10     6.48005E+02
       95.448       96.924     7.26893E-08     6.52612E-10     3.35830E-09     1.40275E-10     6.49700E+02
       96.924       98.400     7.10956E-08     6.43511E-10     3.38515E-09     1.40418E-10     6.52605E+02
       98.400       99.876     6.98982E-08     6.32207E-10     3.39038E-09     1.39236E-10     6.63982E+02
       99.876      101.352     6.80677E-08     6.18567E-10     3.30395E-09     1.36280E-10     6.74148E+02
      101.352      102.828     6.70874E-08     6.05793E-10     3.28509E-09     1.34053E-10     6.91577E+02
      102.828      104.304     6.57032E-08     5.90795E-10     3.25367E-09     1.31471E-10     7.11668E+02
      104.304      105.780     6.38079E-08     5.74520E-10     3.26018E-09     1.29864E-10     7.31517E+02
      105.780      107.256     6.27309E-08     5.67265E-10     3.30093E-09     1.30126E-10     7.39263E+02
      107.256      108.732     6.14830E-08     5.57625E-10     3.18064E-09     1.26830E-10     7.51125E+02
      108.732      110.208     5.89424E-08     5.44225E-10     3.17359E-09     1.26282E-10     7.57176E+02
      110.208      111.684     5.83155E-08     5.37179E-10     3.20559E-09     1.25945E-10     7.70006E+02
      111.684      113.160     5.72848E-08     5.28403E-10     3.18313E-09     1.24558E-10     7.83803E+02
      113.160      114.636     5.50427E-08     5.16497E-10     3.14452E-09     1.23451E-10     7.90581E+02
      114.636      116.112     5.50053E-08     5.14901E-10     3.13524E-09     1.22930E-10     7.97117E+02
      116.112      117.588     5.39131E-08     5.05474E-10     3.15715E-09     1.22321E-10     8.13819E+02
