Radius1 | Radius2 | SB  |   SBError | BGRD |      BGRDError | BinNo
              580.068 |               588.924 |         3.06039834513e-09 | 3.97661829754e-11 |            3.08849506316e-09 | 3.99483063342e-11 |         85
              588.924 |               598.272 |         2.82333931554e-09 | 3.76156862753e-11 |            3.09834617238e-09 | 3.94050985863e-11 |         86
              598.272 |               608.112 |         2.83546850071e-09 | 3.69232959127e-11 |            3.08333632929e-09 | 3.85033497219e-11 |         87
              608.112 |               618.444 |         2.68560965183e-09 | 3.54979380375e-11 |            3.10673503912e-09 | 3.81798135843e-11 |         88
              618.444 |               628.776 |         2.71002540009e-09 | 3.54692697549e-11 |            3.09096688357e-09 | 3.78802430204e-11 |         89
              628.776 |                 639.6 |         2.51740098318e-09 | 3.34746143461e-11 |            3.08623891942e-09 | 3.70641583991e-11 |         90
                639.6 |               652.392 |         2.27970842592e-09 | 3.02405483566e-11 |            3.09000043845e-09 | 3.52070197691e-11 |         91
              652.392 |               665.184 |         2.24468358214e-09 | 2.95600533142e-11 |            3.06657212267e-09 | 3.45504917699e-11 |         92
              665.184 |               677.976 |         2.28026431112e-09 | 3.01977611498e-11 |             3.0525611312e-09 | 3.49393101026e-11 |         93
              677.976 |                691.26 |         2.26236458598e-09 | 3.01389968211e-11 |            3.06043598245e-09 |   3.505412712e-11 |         94
               691.26 |                706.02 |         2.09822391311e-09 | 2.79209384277e-11 |             3.0729010126e-09 | 3.37892366592e-11 |         95
               706.02 |               723.732 |         1.88931686121e-09 | 2.48371570287e-11 |            3.10827145601e-09 | 3.18572990885e-11 |         96
              723.732 |               740.952 |         1.86438910163e-09 | 2.46205191326e-11 |            3.11335957776e-09 | 3.18158527112e-11 |         97
              740.952 |               759.648 |         1.79156646061e-09 | 2.36277490061e-11 |            3.09697465749e-09 |  3.1065240081e-11 |         98
              759.648 |               780.312 |         1.70952461217e-09 | 2.26783469215e-11 |            3.08991030853e-09 | 3.04892441316e-11 |         99
              780.312 |                801.96 |         1.69917492408e-09 |  2.2616681933e-11 |            3.12403981623e-09 |  3.0666776117e-11 |        100
               801.96 |               827.052 |         1.62481711759e-09 | 2.16446061186e-11 |            3.13759149943e-09 | 3.00777698158e-11 |        101
              827.052 |               857.064 |         1.56287035854e-09 | 2.08070264463e-11 |            3.17955521521e-09 | 2.96778006924e-11 |        102
              857.064 |               891.996 |         1.50063598745e-09 | 1.99923476137e-11 |            3.23132869555e-09 | 2.93370657837e-11 |        103
              891.996 |               943.164 |         1.28913662506e-09 | 1.71548019721e-11 |            3.31943150937e-09 | 2.75275836555e-11 |        104
              943.164 |              1039.104 |          9.1185974192e-10 | 1.21382646897e-11 |            3.50943256532e-09 | 2.38128321848e-11 |        105
